a_x,a_y,a_z,j_x,j_y,j_z
1.16,-5.84,8.58,0.23,-0.07,-0.12
1.04,-5.93,8.57,-0.12,-0.09,-0.01
1.19,-5.80,8.49,0.15,0.13,-0.08
0.99,-5.71,8.64,-0.19,0.08,0.15
1.04,-5.77,8.65,0.05,-0.06,0.01
1.13,-5.85,8.60,0.09,-0.08,-0.05
1.07,-5.98,8.57,-0.06,-0.13,-0.03
1.25,-5.92,8.62,0.19,0.06,0.05
0.95,-5.88,8.61,-0.30,0.04,-0.01
1.12,-5.81,8.61,0.16,0.07,0.00
1.01,-5.75,8.56,-0.11,0.05,-0.05
1.12,-5.83,8.50,0.11,-0.08,-0.06
1.15,-5.68,8.62,0.03,0.15,0.11
1.14,-5.68,8.57,-0.00,0.00,-0.05
1.03,-6.00,8.53,-0.12,-0.33,-0.04
1.13,-6.04,8.57,0.10,-0.04,0.04
1.19,-5.95,8.63,0.06,0.09,0.06
1.14,-5.71,8.61,-0.05,0.23,-0.01
1.13,-5.88,8.56,-0.01,-0.17,-0.05
0.93,-5.87,8.44,-0.19,0.02,-0.12
1.42,-5.66,8.61,0.49,0.21,0.17
1.31,-5.81,8.64,-0.10,-0.15,0.03
1.30,-6.04,8.60,-0.02,-0.23,-0.04
1.28,-6.01,8.61,-0.01,0.03,0.01
1.29,-5.90,8.62,0.00,0.11,0.01
1.24,-5.86,8.66,-0.05,0.04,0.03
1.14,-5.94,8.52,-0.09,-0.07,-0.13
1.20,-5.83,8.54,0.06,0.10,0.02
1.18,-5.93,8.53,-0.02,-0.10,-0.01
1.03,-5.93,8.50,-0.15,0.00,-0.03
1.19,-5.79,8.53,0.17,0.14,0.03
1.39,-5.95,8.58,0.20,-0.16,0.05
1.25,-5.98,8.57,-0.14,-0.03,-0.00
1.31,-5.84,8.58,0.06,0.14,0.00
1.04,-5.98,8.51,-0.27,-0.14,-0.07
1.14,-5.92,8.57,0.10,0.06,0.06
1.19,-5.80,8.57,0.05,0.12,0.00
1.30,-5.91,8.55,0.11,-0.11,-0.02
1.32,-5.83,8.66,0.02,0.08,0.11
1.33,-5.85,8.59,0.01,-0.02,-0.08
1.25,-5.96,8.59,-0.08,-0.10,0.01
1.27,-5.94,8.46,0.02,0.01,-0.13
1.06,-5.87,8.58,-0.21,0.08,0.11
1.26,-5.85,8.58,0.20,0.02,0.00
1.25,-5.85,8.62,-0.01,-0.00,0.04
1.32,-5.94,8.60,0.08,-0.08,-0.01
1.20,-6.02,8.58,-0.12,-0.09,-0.02
1.18,-5.77,8.54,-0.03,0.26,-0.03
1.14,-5.74,8.51,-0.04,0.03,-0.03
1.14,-5.80,8.51,0.00,-0.06,0.00
1.18,-5.98,8.53,0.04,-0.18,0.02
1.15,-5.93,8.65,-0.03,0.05,0.11
1.41,-5.86,8.60,0.26,0.06,-0.04
1.27,-5.77,8.62,-0.14,0.09,0.02
1.18,-5.91,8.52,-0.09,-0.13,-0.10
1.28,-5.85,8.43,0.09,0.06,-0.09
1.29,-5.76,8.75,0.02,0.09,0.31
1.49,-6.00,8.58,0.20,-0.24,-0.17
1.34,-6.12,8.62,-0.15,-0.12,0.04
1.19,-5.88,8.63,-0.15,0.24,0.01
1.16,-5.80,8.62,-0.03,0.08,-0.02
1.03,-5.86,8.48,-0.13,-0.05,-0.14
1.28,-5.96,8.50,0.25,-0.11,0.02
1.18,-5.90,8.46,-0.10,0.06,-0.04
1.21,-5.63,8.61,0.03,0.27,0.15
1.04,-5.88,8.64,-0.17,-0.25,0.03
1.17,-6.00,8.60,0.13,-0.12,-0.05
0.90,-5.92,8.62,-0.27,0.08,0.02
1.33,-5.87,8.64,0.43,0.05,0.02
1.14,-5.71,8.56,-0.19,0.16,-0.08
1.27,-5.70,8.45,0.13,0.01,-0.11
1.09,-5.93,8.56,-0.18,-0.23,0.11
1.14,-5.97,8.54,0.05,-0.04,-0.02
1.02,-5.74,8.57,-0.12,0.23,0.02
1.22,-5.87,8.58,0.20,-0.13,0.01
1.24,-5.91,8.60,0.03,-0.04,0.02
1.37,-5.81,8.68,0.13,0.10,0.08
1.27,-5.96,8.55,-0.10,-0.15,-0.13
1.08,-5.82,8.52,-0.19,0.14,-0.03
1.07,-5.83,8.52,-0.01,-0.01,-0.00
1.14,-5.95,8.58,0.07,-0.12,0.06
1.40,-5.85,8.60,0.26,0.10,0.03
1.36,-5.71,8.72,-0.04,0.14,0.12
1.02,-5.78,8.68,-0.34,-0.07,-0.04
0.83,-6.09,8.72,-0.19,-0.30,0.04
1.11,-6.35,8.62,0.28,-0.27,-0.10
1.45,-6.17,8.18,0.34,0.18,-0.45
1.51,-5.97,8.01,0.06,0.20,-0.17
1.22,-5.53,8.45,-0.29,0.44,0.44
0.80,-5.43,8.41,-0.42,0.09,-0.04
0.89,-5.66,8.75,0.08,-0.23,0.34
0.97,-6.05,8.69,0.08,-0.40,-0.06
1.17,-6.19,8.60,0.20,-0.13,-0.09
1.13,-6.36,8.39,-0.04,-0.18,-0.21
0.92,-5.97,8.46,-0.21,0.39,0.07
1.06,-5.77,8.32,0.14,0.20,-0.14
1.05,-5.58,8.58,-0.00,0.19,0.26
1.02,-5.82,8.36,-0.03,-0.24,-0.22
0.90,-5.88,8.49,-0.12,-0.06,0.13
1.08,-6.32,8.39,0.18,-0.44,-0.10
1.24,-6.11,8.49,0.16,0.22,0.10
1.38,-5.98,8.54,0.14,0.12,0.06
1.43,-5.95,8.38,0.05,0.04,-0.17
1.45,-5.99,8.40,0.03,-0.04,0.02
1.67,-6.26,8.35,0.21,-0.28,-0.05
1.76,-6.16,8.38,0.09,0.10,0.03
1.57,-6.14,8.37,-0.19,0.02,-0.01
1.67,-6.22,8.33,0.10,-0.08,-0.04
1.62,-6.29,8.32,-0.04,-0.06,-0.01
1.64,-6.06,8.45,0.01,0.23,0.13
1.47,-6.17,8.39,-0.16,-0.11,-0.07
1.30,-6.30,8.16,-0.17,-0.13,-0.22
1.38,-6.18,8.28,0.07,0.11,0.12
1.74,-6.04,8.20,0.36,0.14,-0.08
